"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\calendarAgent\calendarAgent.js", "JavaScript", 3, 0, 1, 4
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\noteAgent.js", "JavaScript", 1, 0, 0, 1
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\patientAgent.js", "JavaScript", 1, 0, 0, 1
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\agents\userContextAgent.js", "JavaScript", 1, 0, 0, 1
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\crudAgent\crudAgent.js", "JavaScript", 3, 0, 1, 4
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\ericksonianHypnosisAgent\ericksonianHypnosisPrompt.js", "JavaScript", 64, 0, 14, 78
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\humanInLoopAgent\humanInLoopAgent.js", "JavaScript", 1, 0, 1, 2
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\ragAgent\ragAgent.js", "JavaScript", 1, 0, 1, 2
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\researchAgent\researchAgent.js", "JavaScript", 3, 0, 1, 4
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\agents\webcrawlerAgent\webcrawlerAgent.js", "JavaScript", 3, 0, 1, 4
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\handlePrompt.js", "JavaScript", 6, 1, 0, 7
"c:\licencjat\aplikacja - spatium\Spatium\backend-final\src\aiSystem\orchestratorAgent\orchestratorAgent.js", "JavaScript", 3, 0, 1, 4
"Total", "-", 90, 1, 21, 112
